user_id,in_degree_w,out_degree_w,pagerank,betweenness,community_id,participation_coeff
100005598,1.0,1.0,4.212865435874239e-05,0.0,0,0.0
100085032,22.0,18.0,0.00018160187074255357,0.00010231376892413553,23,0.09500000000000008
1001236291,2.0,1.0,0.00010835194396373531,0.0,4,0.0
100136358,25.0,49.0,0.0003764042413389303,0.0032255545624677263,20,0.17750182615047483
100150564,2.0,0.0,1.464545654373127e-05,0.0,0,0.0
100150714,2.0,1.0,8.925923641108086e-05,0.0,2,0.0
100158594,2.0,1.0,9.047736169340137e-05,0.0,21,0.0
1001740519,1.0,1.0,1.787156531904291e-05,0.0,4,0.0
100174414,0.0,3.0,1.345630023482325e-05,7.93034433829645e-05,15,0.4444444444444444
1002161534,1.0,5.0,4.05871489751045e-05,4.666634899293616e-06,1,0.2777777777777777
1002255540,1.0,1.0,8.884938462125074e-05,0.0,0,0.0
100246984,2.0,1.0,1.4840175404276634e-05,0.0,106,0.6666666666666667
100366853,4.0,0.0,1.571230567860336e-05,0.0,0,0.625
1003681236,5.0,0.0,5.023194998574524e-05,0.0002292814580709543,43,0.31999999999999984
1003989258,10.0,8.0,0.0001357030899856063,0.00040535153832795055,11,0.29629629629629617
1004094631,24.0,17.0,0.0001893617144097051,0.0,3,0.0
100418160,2.0,1.0,3.576598259928092e-05,0.0,9,0.0
1004405263,1.0,1.0,2.7940443972685957e-05,0.0,41,0.0
100482942,4.0,0.0,3.16336971370063e-05,1.232696011134163e-06,59,0.75
1004906407,1.0,1.0,1.3508560647389096e-05,0.0,22,0.5
1005033720,2.0,2.0,5.3136981139667863e-05,1.232696011134163e-05,11,0.0
1005109987,3.0,1.0,8.99532712392665e-05,3.25431746939419e-05,2,0.0
100533495,2.0,0.0,3.0382185911831572e-05,0.0,4,0.0
1005779887,1.0,0.0,1.5365093572000327e-05,0.0,1,0.0
100597465,3.0,0.0,3.058739372620264e-05,0.0,1,0.4444444444444444
100629223,0.0,8.0,1.345630023482325e-05,0.0002937925493203088,49,0.0
100636437,2.0,0.0,1.6319490240588868e-05,0.0,100,0.5
1006615872,2.0,1.0,0.00010635695560442145,0.0,23,0.0
1007147275,6.0,4.0,0.00014956954392616616,4.807514443423235e-05,10,0.17999999999999994
1007239393,1.0,1.0,1.3500180541425024e-05,0.0,0,0.0
1007288292,2.0,1.0,3.383127868986067e-05,0.0,67,0.0
1007335268,1.0,1.0,4.1006193676080145e-05,0.0,3,0.0
1007547482,2.0,1.0,8.890809125001812e-05,0.0,0,0.0
1007575651,4.0,2.0,0.00014151832468602105,1.232696011134163e-05,6,0.375
100775509,1.0,1.0,1.3530668806401578e-05,0.0,44,0.5
1007845926,2.0,1.0,8.960155605548124e-05,2.465392022268326e-05,33,0.4444444444444444
100786433,1.0,1.0,3.1870031980959186e-05,0.0,18,0.0
1008392934,0.0,6.0,1.345630023482325e-05,0.0002662623384049792,66,0.2777777777777777
1008526854,0.0,2.0,1.345630023482325e-05,3.9446272356293214e-05,22,0.5
100858563,6.0,3.0,0.00022106161962191437,0.00010108107291300136,6,0.4444444444444444
1008666679,3.0,1.0,1.6520107141793326e-05,5.07459857916897e-05,25,0.375
100880543,70.0,52.0,0.0005644950491465127,0.003601937744534024,10,0.0
100906237,2.0,2.0,3.478907189286141e-05,0.0,5,0.0
100910161,3.0,3.0,0.00014194799956650196,0.0,10,0.0
1009250149,2.0,0.0,1.5167263450220073e-05,0.0,13,0.5
100936791,0.0,9.0,1.345630023482325e-05,0.00017257744155878282,12,0.0
10102272,0.0,4.0,1.345630023482325e-05,0.0,11,0.375
101022951,2.0,3.0,3.245775802480554e-05,2.465392022268326e-06,19,0.31999999999999984
101025368,2.0,1.0,2.142912771741151e-05,0.0,27,0.0
