event,category,thread_id,is_rumour,veracity,n_nodes,depth,duration_min
charliehebdo-all-rnr-threads,rumours,552783238415265792,rumour,,10,1,114.35
charliehebdo-all-rnr-threads,rumours,552783667052167168,rumour,,8,1,636.5166666666667
charliehebdo-all-rnr-threads,rumours,552783745565347840,rumour,,6,1,84.28333333333333
charliehebdo-all-rnr-threads,rumours,552784168849907712,rumour,,14,1,97.28333333333333
charliehebdo-all-rnr-threads,rumours,552784526955806720,rumour,,17,1,134.08333333333334
charliehebdo-all-rnr-threads,rumours,552784882687299584,rumour,,25,1,169.58333333333334
charliehebdo-all-rnr-threads,rumours,552785367972450304,rumour,False,11,1,204.9
charliehebdo-all-rnr-threads,rumours,552785375161499649,rumour,,4,1,10.716666666666667
charliehebdo-all-rnr-threads,rumours,552785443813457921,rumour,,11,1,175.06666666666666
charliehebdo-all-rnr-threads,rumours,552785551930454016,rumour,False,3,1,14.016666666666667
charliehebdo-all-rnr-threads,rumours,552785695845396480,rumour,,5,1,127.05
charliehebdo-all-rnr-threads,rumours,552786016906383360,rumour,,15,1,175.36666666666667
charliehebdo-all-rnr-threads,rumours,552786099899494400,rumour,False,21,1,12641.8
charliehebdo-all-rnr-threads,rumours,552786361758265344,rumour,,13,1,480.4
charliehebdo-all-rnr-threads,rumours,552786818853113857,rumour,,14,1,167.41666666666666
charliehebdo-all-rnr-threads,rumours,552787231468191744,rumour,False,2,1,20.4
charliehebdo-all-rnr-threads,rumours,552787544837197824,rumour,,8,1,654.85
charliehebdo-all-rnr-threads,rumours,552787878351474688,rumour,,2,1,19.05
charliehebdo-all-rnr-threads,rumours,552788396733906944,rumour,,3,1,4.216666666666667
charliehebdo-all-rnr-threads,rumours,552788886355996672,rumour,,61,1,230.0
charliehebdo-all-rnr-threads,rumours,552788945017516032,rumour,,28,1,225.15
charliehebdo-all-rnr-threads,rumours,552788947219533824,rumour,,4,1,37.28333333333333
charliehebdo-all-rnr-threads,rumours,552789127792717826,rumour,,7,1,24.883333333333333
charliehebdo-all-rnr-threads,rumours,552789521646247936,rumour,,33,1,331.96666666666664
charliehebdo-all-rnr-threads,rumours,552790074166108160,rumour,,9,1,19.616666666666667
charliehebdo-all-rnr-threads,rumours,552790082533752832,rumour,,1,1,0.0
charliehebdo-all-rnr-threads,rumours,552790371848040449,rumour,False,14,1,329.75
charliehebdo-all-rnr-threads,rumours,552790742700417024,rumour,,20,1,514.65
charliehebdo-all-rnr-threads,rumours,552790824971677696,rumour,,25,1,123.68333333333334
charliehebdo-all-rnr-threads,rumours,552790838015979520,rumour,,20,1,36.05
charliehebdo-all-rnr-threads,rumours,552790875492073472,rumour,,6,1,35.833333333333336
charliehebdo-all-rnr-threads,rumours,552790878805168129,rumour,,6,1,49.65
charliehebdo-all-rnr-threads,rumours,552791034447794176,rumour,,9,1,14.366666666666667
charliehebdo-all-rnr-threads,rumours,552791065645027328,rumour,,9,1,28.916666666666668
charliehebdo-all-rnr-threads,rumours,552791115599192064,rumour,False,8,1,501.8
charliehebdo-all-rnr-threads,rumours,552791182670327808,rumour,False,16,1,244.31666666666666
charliehebdo-all-rnr-threads,rumours,552791196247269378,rumour,,23,1,534.3333333333334
charliehebdo-all-rnr-threads,rumours,552791578893619200,rumour,,21,1,137.06666666666666
charliehebdo-all-rnr-threads,rumours,552792193992519680,rumour,,7,1,45.11666666666667
charliehebdo-all-rnr-threads,rumours,552792271243210754,rumour,,134,1,773.0
charliehebdo-all-rnr-threads,rumours,552792544132997121,rumour,,18,1,97.03333333333333
charliehebdo-all-rnr-threads,rumours,552792802309181440,rumour,,9,1,165.7
charliehebdo-all-rnr-threads,rumours,552792913910833152,rumour,,6,1,49.1
charliehebdo-all-rnr-threads,rumours,552792988376915969,rumour,,17,1,321.56666666666666
